,pm2.5,datum_od,o3,pm10,co,no2
0,4.0,2023-02-26 12:00:00,65.0,4.0,0.2,7.0
0,4.0,2023-02-26 13:00:00,69.0,5.0,0.2,6.0
0,4.0,2023-02-26 14:00:00,70.0,5.0,0.2,6.0
0,4.0,2023-02-26 15:00:00,69.0,5.0,0.2,6.0
0,4.0,2023-02-26 16:00:00,66.0,5.0,0.2,26.22096317280453
0,3.0,2023-02-26 17:00:00,65.0,4.0,0.2,7.0
0,3.0,2023-02-26 18:00:00,68.0,4.0,0.2,7.0
0,3.0,2023-02-26 19:00:00,66.0,4.0,0.2,8.0
0,5.0,2023-02-26 20:00:00,61.0,5.0,0.2,10.0
0,4.0,2023-02-26 21:00:00,64.0,4.0,0.2,9.0
0,4.0,2023-02-26 22:00:00,68.0,5.0,0.2,5.0
0,4.0,2023-02-26 23:00:00,68.0,5.0,0.2,4.0
0,3.0,2023-02-27 00:00:00,70.0,4.0,0.2,5.0
0,3.0,2023-02-27 01:00:00,72.0,4.0,0.2,3.0
0,3.0,2023-02-27 02:00:00,73.0,4.0,0.2,3.0
0,3.0,2023-02-27 03:00:00,68.0,4.0,0.2,6.0
0,3.0,2023-02-27 04:00:00,65.0,4.0,0.2,8.0
0,3.0,2023-02-27 05:00:00,64.0,6.0,0.2,10.0
0,4.0,2023-02-27 06:00:00,53.0,7.0,0.2,20.0
0,5.0,2023-02-27 07:00:00,47.0,9.0,0.2,26.0
0,6.0,2023-02-27 08:00:00,51.0,10.0,0.2,23.0
0,7.0,2023-02-27 09:00:00,57.0,14.0,0.2,19.0
0,7.0,2023-02-27 10:00:00,68.0,11.0,0.2,10.0
0,8.0,2023-02-27 11:00:00,46.37114427860696,10.0,0.3841990555757355,9.0
0,9.0,2023-02-27 12:00:00,71.0,12.0,0.2,9.0
0,10.0,2023-02-27 13:00:00,72.0,12.0,0.2,10.0
0,10.0,2023-02-27 14:00:00,73.0,12.0,0.2,11.0
0,9.0,2023-02-27 15:00:00,69.0,13.0,0.2,14.0
0,11.0,2023-02-27 16:00:00,65.0,14.0,0.3,16.0
